time,centroid,bandwidth,chroma_hue
0.000000000000000000e+00,5.822800466782812601e-01,6.860389880879975699e-01,0.000000000000000000e+00
4.167345073738885214e-02,5.825145414863458493e-01,6.859550103732756643e-01,0.000000000000000000e+00
8.334690147477770428e-02,5.829530522730235198e-01,6.857937049145148567e-01,1.324346965196862291e-01
1.250203522121665634e-01,5.835970993685516417e-01,6.855591350959454600e-01,2.243260223897647065e-01
1.666938029495554086e-01,5.844399413310679137e-01,6.852536144952402486e-01,2.008986368136470857e-01
2.083672536869442538e-01,5.854734880585161783e-01,6.848800944108196509e-01,5.315570025131368670e-01
2.500407044243331267e-01,5.866900525416828271e-01,6.844431694629518059e-01,8.846812885538039017e-01
2.917141551617219442e-01,5.880775042093482341e-01,6.839469514519774807e-01,8.333333333333333703e-01
3.333876058991108171e-01,5.896195927428196093e-01,6.833940048106907916e-01,8.333333333333333703e-01
3.750610566364996901e-01,5.913071122297280935e-01,6.827886532387654750e-01,8.333333333333333703e-01
4.167345073738885075e-01,5.931262343689308603e-01,6.821335768168317326e-01,8.333333333333333703e-01
4.584079581112773805e-01,5.950592225995535722e-01,6.814308663412365075e-01,2.531033432335690891e-01
5.000814088486662534e-01,5.970835875725912789e-01,6.806929431216164339e-01,1.666666666666666574e-01
5.417548595860550709e-01,5.991749235693584197e-01,6.799221495953220451e-01,1.666666666666666574e-01
5.834283103234438883e-01,6.013106692764189631e-01,6.791244545652500575e-01,1.666666666666666574e-01
6.251017610608328168e-01,6.034686622598102179e-01,6.783033931339383926e-01,1.666666666666666574e-01
6.667752117982216342e-01,6.056259407304795950e-01,6.774615527000674708e-01,1.666666666666666574e-01
7.084486625356104517e-01,6.077593596443805479e-01,6.766022787612900879e-01,2.937514279186651533e-01
7.501221132729993801e-01,6.098451554505285310e-01,6.757282070621870584e-01,6.919122686771763675e-01
7.917955640103881976e-01,6.118545571481684986e-01,6.748391269781387480e-01,8.333333333333333703e-01
8.334690147477770150e-01,6.137530786160353413e-01,6.739358169116421715e-01,8.333333333333333703e-01
8.751424654851659435e-01,6.155110123201372740e-01,6.730186378945473002e-01,7.630511766049805633e-01
