time,centroid,bandwidth,chroma_hue
0.000000000000000000e+00,4.434042949448885884e-01,6.743822605872771270e-01,3.333333333333333148e-01
4.167465304455326286e-02,4.428806908236425643e-01,6.739305958734278512e-01,2.585562175180631250e-01
8.334930608910652572e-02,4.418976333928306133e-01,6.730818451472966313e-01,1.175582034055858427e-01
1.250239591336597955e-01,4.404635913726966945e-01,6.718435159579360105e-01,4.869860987873408931e-01
1.666986121782130514e-01,4.385901495983771103e-01,6.702255555601451809e-01,4.211243503612626116e-01
2.083732652227663074e-01,4.362914757552161515e-01,6.682401650111835512e-01,3.311044914860353794e-01
2.500479182673195910e-01,4.335854820304745338e-01,6.659026721323656473e-01,2.566865255418938618e-01
2.917225713118728470e-01,4.304938778190039450e-01,6.632313873721593644e-01,2.109582963620226514e-01
3.333972243564261029e-01,4.270405263229297699e-01,6.602464869684364634e-01,7.053492204335152227e-01
3.750718774009793588e-01,4.232498971948538413e-01,6.569693781551285694e-01,5.063273756707651341e-01
4.167465304455326147e-01,4.191425098349249034e-01,6.534171849763154016e-01,5.811044914860353794e-01
4.584211834900858706e-01,4.147349760183134393e-01,6.496044137824829034e-01,5.107850593653611160e-01
5.000958365346391821e-01,4.100886302141681927e-01,6.455841743695390766e-01,3.720158871001816303e-01
5.417704895791923825e-01,4.052369910867673064e-01,6.413852203202969893e-01,3.887691722651792081e-01
5.834451426237456939e-01,4.002157577076099759e-01,6.370374061358053952e-01,3.697870452528838059e-01
6.251197956682988943e-01,3.950597928395567782e-01,6.325707481560092216e-01,3.333333333333333148e-01
6.667944487128522058e-01,3.898037402951980979e-01,6.280151663778440474e-01,3.333333333333333148e-01
7.084691017574055172e-01,3.844825411285171524e-01,6.234005424323916245e-01,3.333333333333333148e-01
7.501437548019587176e-01,3.791308374625960709e-01,6.187565287066323361e-01,3.839523386994543319e-01
7.918184078465120290e-01,3.737827342088145821e-01,6.141117690134245688e-01,6.666666666666666297e-01
8.334930608910652294e-01,3.684743547297645305e-01,6.094975945217600000e-01,6.666666666666666297e-01
8.751677139356185409e-01,3.632442616922887946e-01,6.049476430094735679e-01,8.776249630286893089e-01
9.168423669801717413e-01,3.581196650971883999e-01,6.004852827139670612e-01,7.931402374614445749e-01
9.585170200247250527e-01,3.531285540578992799e-01,5.961350004659065061e-01,6.435860058309040843e-01
1.000191673069278364e+00,3.482980006677345308e-01,5.919203482812296357e-01,3.154286559344235963e-01
1.041866326113831676e+00,3.436527558569194563e-01,5.878630047955363258e-01,2.638061435754430195e-01
1.083540979158384765e+00,3.392141442469871482e-01,5.839814945383891009e-01,4.724616554696415838e-01
1.125215632202938076e+00,3.350006753924254510e-01,5.802919660495292620e-01,4.356487936789619764e-01
1.166890285247491388e+00,3.310293480536183885e-01,5.768100378284369834e-01,5.312777284826966095e-01
1.208564938292044699e+00,3.273142284768026933e-01,5.735486830375250422e-01,7.443909240714916553e-01
1.250239591336597789e+00,3.238942396075955021e-01,5.705421629261476779e-01,5.200595766256822516e-01
1.291914244381151100e+00,3.207601318282701230e-01,5.677840685707548074e-01,5.680905902733761614e-01
1.333588897425704412e+00,3.179083515766477630e-01,5.652726605975707530e-01,5.237989605780203339e-01
1.375263550470257723e+00,3.153379528444449909e-01,5.630082092504913316e-01,3.980436895254997332e-01
1.416938203514811034e+00,3.130463465574478410e-01,5.609897575965817618e-01,3.757552710525204898e-01
1.458612856559364124e+00,3.110292429343636811e-01,5.592155788909868308e-01,4.166666666666666852e-01
1.500287509603917435e+00,3.092802170896701841e-01,5.576815785554599669e-01,3.913571639836061489e-01
1.541962162648470747e+00,3.077888460586312713e-01,5.563796951797741475e-01,3.333333333333333148e-01
1.583636815693024058e+00,3.065390757612579953e-01,5.552985997720080169e-01,3.333333333333333148e-01
1.625311468737577147e+00,3.055186047659664283e-01,5.544294326181808952e-01,3.333333333333333148e-01
1.666986121782130459e+00,3.047299682333604043e-01,5.537787476997784175e-01,3.333333333333333148e-01
1.708660774826683770e+00,3.041252850457600299e-01,5.533038676560523283e-01,3.333333333333333148e-01
1.750335427871237082e+00,3.036803608758151252e-01,5.529865303895887818e-01,3.333333333333333148e-01
1.792010080915790393e+00,3.033705575658406373e-01,5.528075820774374094e-01,3.820826467232855683e-01
1.833684733960343483e+00,3.031715756862390920e-01,5.527471213657728644e-01,3.764735707947777787e-01
1.875359387004896794e+00,3.030592002105133020e-01,5.527844787284679207e-01,3.333333333333333148e-01
1.917034040049450105e+00,3.030084725797263512e-01,5.528986038661755087e-01,3.333333333333333148e-01
1.958708693094003417e+00,3.029937342959955204e-01,5.530685059195068476e-01,3.333333333333333148e-01
2.000383346138556728e+00,3.029904093640467533e-01,5.532732091276986175e-01,3.273651075336969085e-01
2.042057999183109818e+00,3.029741719899096686e-01,5.534915137539656582e-01,2.525879917184267742e-01
2.083732652227663351e+00,3.029164086194311989e-01,5.536996474111492983e-01,3.943782481936877193e-01
2.125407305272216441e+00,3.027951723018856844e-01,5.538751789228795186e-01,4.802995732454470312e-01
